"User_ID","Product_ID","Gender","Age","Occupation","City_Category","Stay_In_Current_City_Years","Marital_Status","Product_Category","Purchase"
1000005,"P00274942","M","26-35",20,"A","1",1,8,7871
1000005,"P00251242","M","26-35",20,"A","1",1,5,5254
1000005,"P00145042","M","26-35",20,"A","1",1,1,15665
1000010,"P00085942","F","36-45",1,"B","4+",1,2,16352
1000010,"P00111142","F","36-45",1,"B","4+",1,1,18963
1000010,"P00259342","F","36-45",1,"B","4+",1,5,8718
1000010,"P00148642","F","36-45",1,"B","4+",1,6,12642
1000010,"P00113242","F","36-45",1,"B","4+",1,1,11562
1000013,"P00129542","M","46-50",1,"C","3",1,8,5839
1000013,"P00140742","M","46-50",1,"C","3",1,1,15912
1000015,"P00334242","M","26-35",7,"A","1",0,1,19653
1000015,"P00161942","M","26-35",7,"A","1",0,5,5407
1000017,"P00073842","M","51-55",1,"C","0",0,1,15172
1000018,"P00157542","F","18-25",3,"B","3",0,8,8011
1000019,"P00112542","M","0-17",10,"A","3",0,1,7746
1000019,"P00117442","M","0-17",10,"A","3",0,5,7011
1000022,"P00258742","M","18-25",15,"A","4+",0,5,6976
1000022,"P00021742","M","18-25",15,"A","4+",0,5,6973
1000023,"P00270942","M","36-45",0,"B","3",1,1,19239
1000028,"P00178942","F","26-35",1,"C","2",1,5,8624
1000033,"P00145442","M","46-50",3,"A","1",1,8,7888
1000036,"P00102642","M","26-35",3,"B","0",0,4,2832
1000036,"P00037142","M","26-35",3,"B","0",0,1,15769
1000036,"P00086442","M","26-35",3,"B","0",0,8,7869
1000036,"P00318742","M","26-35",3,"B","0",0,1,11518
1000042,"P00046742","M","26-35",8,"C","0",1,1,19433
1000042,"P00003242","M","26-35",8,"C","0",1,8,6027
1000042,"P00044442","M","26-35",8,"C","0",1,1,15469
1000044,"P00112142","M","46-50",17,"B","3",1,1,19072
1000044,"P00110542","M","46-50",17,"B","3",1,8,7995
1000044,"P00140742","M","46-50",17,"B","3",1,1,11799
1000048,"P00010742","M","26-35",4,"B","3",1,1,19352
1000048,"P00114942","M","26-35",4,"B","3",1,1,15783
1000048,"P00113242","M","26-35",4,"B","3",1,1,15466
1000058,"P00110742","M","26-35",2,"B","3",0,1,15824
1000058,"P00271142","M","26-35",2,"B","3",0,5,8842
1000058,"P00003942","M","26-35",2,"B","3",0,5,6987
1000059,"P00148642","F","51-55",1,"B","4+",1,6,12014
1000059,"P00317842","F","51-55",1,"B","4+",1,8,8007
1000059,"P00010742","F","51-55",1,"B","4+",1,1,7988
1000062,"P00036842","F","36-45",3,"A","1",0,1,11694
1000062,"P00182142","F","36-45",3,"A","1",0,1,15654
1000062,"P00121642","F","36-45",3,"A","1",0,5,8599
1000065,"P00289942","M","36-45",12,"C","2",1,3,13253
1000065,"P00147942","M","36-45",12,"C","2",1,1,19420
1000065,"P00113142","M","36-45",12,"C","2",1,1,15628
1000090,"P00051442","M","55+",13,"C","1",0,8,7824
1000092,"P00255842","F","18-25",4,"B","1",0,16,16416
1000093,"P00199442","M","26-35",17,"B","1",1,5,7038
1000093,"P00216342","M","26-35",17,"B","1",1,3,11031
1000093,"P00112542","M","26-35",17,"B","1",1,1,15895
1000096,"P00117942","F","26-35",16,"C","2",1,5,7193
1000099,"P00317842","F","0-17",10,"C","1",0,8,5935
1000099,"P00334242","F","0-17",10,"C","1",0,1,18982
1000099,"P00129542","F","0-17",10,"C","1",0,8,7821
1000117,"P00021742","M","26-35",17,"A","2",1,5,8649
1000118,"P00127642","M","36-45",17,"C","4+",0,1,15909
1000118,"P00355142","M","36-45",17,"C","4+",0,1,15651
1000123,"P00248142","M","36-45",9,"B","4+",1,5,3639
1000123,"P00113242","M","36-45",9,"B","4+",1,1,19586
1000123,"P00116842","M","36-45",9,"B","4+",1,2,13009
